### Starting production?!

# bio1 PE   N=53  Avg= $94.39 min=11.49 max=342.57
# bio1 SEPE N=4   Avg= $82.82 min=30.45 max=135.08
# bio1      N=57  Avg= $93.58 min=11.49 max=343.57
# bio2 PE   N=47  Avg=$184.81 min=44.16 max=364.20
# bio2 SEPE N=15  Avg=$140.52 min=68.49 max=219.63
# bio2      N=62  Avg=$174.10 min=44.16 max=364.20
# all       N=119 Avg=$135.53 min=11.49 max=364.20

# TODO: 1st test: DNase ENCODE3: Assemble for GRCh38, but then run first on hg19
#Experiment     On    Reps        Assembled   Launched    Posted     Duration     Cost 
ENCSR560CCF  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  1d07h14m   $44.16
ENCSR564JUY  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  7d05h45m  $245.68
ENCSR575VMI  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  7d07h07m  $247.61
ENCSR577TXK  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  1d00h53m   $35.20
ENCSR579BNV  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  8d13h37m  $290.73  # Success, Restarted 2016-09-27: 7 day align finished but merge predicably failed 
ENCSR584LUZ  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  4d10h39m  $150.80
ENCSR592DQC  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  4d12h01m  $152.74  # Success, Restarted 2016-09-16: oom error/rev step
ENCSR593LTJ  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  7d04h30m  $243.91
ENCSR594NOE  E3 hg19  1,2_1.2     2016-09-14  2016-09-22  2016-10-06  5d20h09m  $198.17
ENCSR595CSH  E3 hg19  1,2_1.2     2016-09-14  2016-09-22  2016-10-06  3d16h48m  $125.56
ENCSR620QNS  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06 10d17h34m  $364.20
ENCSR632CQZ  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  1d08h56m   $46.56
ENCSR699ZLY  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  4d10h51m  $151.09
ENCSR700ILE  E3 hg19  1_1.3       2016-09-14  2016-09-22  2016-10-06    21h32m   $30.45
ENCSR705CNJ  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  3d08h09m  $113.33
ENCSR706IDL  E3 hg19  1_1.2,2     2016-09-14  2016-09-22  2016-10-06  5d17h50m  $194.90
ENCSR724SCF  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    21h39m   $30.61
ENCSR746ZPP  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  5d10h34m  $184.62
ENCSR749BWV  E3 hg19  1,2         2016-08-30  2016-09-01  2016-10-05 5d08h19m  $181.43  # First launched, first posted 10 fastqs rep1_1:7GB, rep2_1:7GB <=== PE 1_1.2,2_1.2.3 *****
ENCSR754LIN  E3 hg19  1           2016-08-30  2016-09-12  2016-10-06  6d03h32m  $208.61
ENCSR759UNY  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  4d04h45m  $142.46
ENCSR768OLL  E3 hg19  1_1.2       2016-09-14  2016-09-22  2016-10-06  1d19h15m   $61.16
ENCSR771DAX  E3 hg19  1_1.2,2_1.2 2016-09-14  2016-09-22  2016-10-06  2d00h59m   $69.25
ENCSR782XFY  E3 hg19  1,2_1.2     2016-09-14  2016-09-22  2016-10-06  6d11h19m  $219.63
ENCSR785BDQ  E3 hg19  1,2         2016-08-30  2016-09-07  2016-10-06  3d11h17m  $117.77
ENCSR790FIS  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  5d01h14m  $171.42
ENCSR804RSI  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  2d09h47m   $81.71
ENCSR809LCE  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  2d06h29m   $77.05
ENCSR813CKU  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    18h25m   $26.03
ENCSR814KRX  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  3d09h30m  $115.25
ENCSR815JAA  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    16h17m   $23.04
ENCSR818JGZ  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  8d08h14m  $283.12
ENCSR818YUC  E3 hg19  1           2016-08-30  2016-09-07  2016-10-05    18h47m   $26.57
ENCSR820ICX  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  2d14h29m   $88.36
ENCSR820WLP  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  6d12h23m  $221.12
ENCSR826CTO  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  1d06h56m   $43.73
ENCSR829MXU  E3 hg19  1_1.2       2016-09-14  2016-09-22  2016-10-06  3d01h58m  $104.59
ENCSR845CFB  E3 hg19  1,2         2016-08-30  2016-09-07  2016-10-06  4d07h39m  $146.56
ENCSR848XIY  E3 hg19  1           2016-08-30  2016-09-07  2016-10-05  4d00h05m  $135.87
ENCSR855DJV  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  1d21h39m   $64.54
ENCSR855FOP  E3 hg19  1,2_1.2     2016-09-14  2016-09-22  2016-10-06  5d13h13m  $188.37
ENCSR859CZM  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  1d11h32m   $50.24
ENCSR863XNX  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  4d04h11m  $141.65
ENCSR865ICK  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  4d08h38m  $147.96
ENCSR873PLF  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    18h16m   $25.82
ENCSR902XFY  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06 10d01h47m  $341.87
ENCSR907VOR  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  10d02h58m  $343.57  # Success, 10d01h26m $347.57  <==== 2nd place!  29.60038G fastqs
ENCSR910OQF  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  6d01h23m  $205.57
ENCSR932KWJ  E3 hg19  1,2         2016-08-30  2016-09-07  2016-10-06  1d18h28m   $60.05
ENCSR937UWI  E3 hg19  1,2_1.2     2016-09-14  2016-09-22  2016-10-06  5d14h50m  $190.65
ENCSR940NLN  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  3d20h37m  $130.97
ENCSR943SYS  E3 hg19  1,2         2016-08-30  2016-09-07  2016-10-06  5d02h07m  $172.67
ENCSR945ENZ  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    19h10m   $27.10
ENCSR959ZXU  E3 hg19  1,2         2016-08-30  2016-09-07  2016-10-06  1d19h26m   $61.42
ENCSR964MZQ  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  4d11h54m  $152.57
ENCSR964WHY  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  5d02h44m  $173.55
ENCSR967DXR  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    18h45m   $26.52
ENCSR982JMP  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    23h19m   $32.97
ENCSR986YWZ  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    18h45m   $26.52
ENCSR997TXZ  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05     8h08m   $11.49
# total 119

# Historical
# Done: 1st test: DNase ENCODE3: Assemble for GRCh38, but then run first on hg19
#Experiment     On    Reps        Assembled   Launched    Posted     Duration     Cost 
ENCSR749BWV  E3 hg19  1,2         2016-08-30  2016-09-01  2016-10-05 5d08h19m  $181.43  # First launched, first posted 10 fastqs rep1_1:7GB, rep2_1:7GB <=== PE 1_1.2,2_1.2.3 *****

# Done: DNase ENCODE3: 1 replicate PE hg19
#Experiment     On    Reps        Assembled   Launched    Posted      Duration     Cost 
ENCSR048BUO  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    21h47m   $30.80
ENCSR064EFK  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    12h21m   $17.46
